Incident Power [MWt] / Wind speed [m/s],0,2,4,8,14,17,20,40,60
79,0.6013,0.4759,0.3230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
142,0.6079,0.5637,0.5179,0.4409,0.3373,0.2852,0.2285,0.0000,0.0000
158,0.7749,0.7185,0.6601,0.5620,0.4299,0.3635,0.2913,0.0000,0.0000
237,0.8296,0.7920,0.7533,0.6896,0.6078,0.5699,0.5332,0.0000,0.0000
317,0.8566,0.8282,0.7990,0.7511,0.6901,0.6621,0.6354,0.0000,0.0000
396,0.8728,0.8498,0.8262,0.7875,0.7384,0.7160,0.6946,0.0000,0.0000
475,0.8836,0.8642,0.8443,0.8117,0.7704,0.7516,0.7336,0.0000,0.0000
554,0.8913,0.8745,0.8572,0.8289,0.7931,0.7768,0.7613,0.0000,0.0000
633,0.8970,0.8821,0.8668,0.8418,0.8101,0.7957,0.7820,0.0000,0.0000
712,0.9015,0.8881,0.8743,0.8518,0.8233,0.8104,0.7980,0.0000,0.0000
792,0.9051,0.8929,0.8803,0.8590,0.8338,0.8221,0.8108,0.0000,0.0000